file,variable,latitude,longitude,ecco_mean,omg_mean,difference
CTD_20171014_164755.nc,THETA,66.28441619873047,-33.8380012512207,1.7145447,2.4867094,0.7721647
CTD_20171023_163626.nc,THETA,70.19168090820312,-52.886749267578125,0.82214224,1.786032,0.9638897
CTD_20171014_113351.nc,THETA,64.47196960449219,-36.34877014160156,4.4342217,5.704783,1.2705612
CTD_20171018_135128.nc,THETA,74.38990020751953,-56.166500091552734,0.38011193,0.9559817,0.57586974
CTD_20171014_143509.nc,THETA,62.91284942626953,-41.374271392822266,4.9210453,2.9033308,-2.0177145
CTD_20171018_113411.nc,THETA,75.99571990966797,-62.740478515625,-0.28155437,1.2654495,1.5470039
CTD_20171015_144938.nc,THETA,67.30278015136719,-31.041099548339844,1.887273,2.45468,0.567407
CTD_20171018_142150.nc,THETA,73.4451675415039,-56.955318450927734,1.8453088,1.549927,-0.29538178
CTD_20171019_160601.nc,THETA,69.98342895507812,-57.905250549316406,0.28899738,0.8079383,0.5189409
CTD_20171014_120014.nc,THETA,63.708580017089844,-38.5018310546875,4.72712,5.3956733,0.66855335
CTD_20171016_132004.nc,THETA,70.25116729736328,-23.904800415039062,-0.35248473,0.5256177,0.8781024
CTD_20171017_161013.nc,THETA,77.80638122558594,-75.04377746582031,-0.90154284,-0.31770593,0.5838369
CTD_20171016_122834.nc,THETA,71.5730209350586,-27.769750595092773,-0.53271645,0.7240443,1.2567608
CTD_20171014_135013.nc,THETA,61.0631217956543,-42.57802963256836,5.0142283,2.7153306,-2.2988977
CTD_20171018_180150.nc,THETA,77.45332336425781,-68.04830169677734,-1.0293708,0.25721744,1.2865882
CTD_20171019_154153.nc,THETA,70.65840148925781,-58.913970947265625,0.45138326,1.141081,0.68969774
CTD_20171023_151212.nc,THETA,71.04039764404297,-52.04167938232422,0.35131264,2.0399609,1.6886482
CTD_20171019_133659.nc,THETA,73.26506805419922,-58.362850189208984,0.20040213,1.4701685,1.2697663
CTD_20171015_122319.nc,THETA,69.72026824951172,-21.90839958190918,-0.22929554,0.22787747,0.457173
CTD_20171016_143109.nc,THETA,70.3940200805664,-25.960899353027344,-0.35883018,0.5534316,0.9122617
CTD_20171014_133214.nc,THETA,60.32402038574219,-42.43013000488281,4.7336345,5.2595944,0.52595997
CTD_20171015_135555.nc,THETA,68.66742706298828,-25.43644905090332,0.040881366,0.42545018,0.3845688
CTD_20171014_152026.nc,THETA,64.14820098876953,-40.32939910888672,2.990282,3.539267,0.548985
CTD_20171016_130337.nc,THETA,71.100830078125,-24.9185791015625,-0.4670757,0.39330426,0.86037993
CTD_20171014_101700.nc,THETA,65.35162353515625,-35.162601470947266,1.5774207,3.3229828,1.7455621
CTD_20171018_145516.nc,THETA,74.21732330322266,-63.01314926147461,-0.17389004,1.0719712,1.2458612
